ORF,Gene,Description,Number of peptides,glucose,maltose,oleate,fructose,sucrose,trehalose,lactate,acetate,pryuvate,glycerol
YJR133W,XPT1,"Xanthine-guanine phosphoribosyl transferase, required for xanthine utilization and for optimal utilization of guanine",28,3932.770,4886.510,6987.920,4400.940,5520.110,5606.140,4354.250,3256.970,5810.330,7412.400
YHR073W,OSH3,"Member of an oxysterol-binding protein family with seven members in S. cerevisiae; family members have overlapping, redundant functions in sterol metabolism and collectively perform a function essential for viability",40,5869.140,5831.490,6916.080,5451.820,5989.870,6603.470,7192.860,6883.670,8041.300,6651.790
YBR106W,PHO88,"Probable membrane protein, involved in phosphate transport; pho88 pho86 double null mutant exhibits enhanced synthesis of repressible acid phosphatase at high inorganic phosphate concentrations",58,20232.000,9607.340,9385.750,18145.900,18059.300,10930.400,11302.700,12541.200,15939.900,11455.300
YOL025W,LAG2,"Protein that negatively regulates the SCF E3-ubiquitin ligase by interacting with and preventing neddyation of the cullin subunit, Cdc53p; longevity determinant that is preferentially expressed in young cells; similar to mammalian Cand1",16,1412.930,4033.380,3160.080,1438.350,1514.480,3447.000,4088.280,2676.180,3131.740,3201.480
YNL152W,INN1,"Essential protein that associates with the contractile actomyosin ring, required for ingression of the plasma membrane into the bud neck during cytokinesis; C2 domain, a membrane targeting module, is required for function",12,1836.040,1631.810,1715.640,1869.320,1898.470,1770.100,1605.590,1346.860,1510.660,1625.170
YNL098C,RAS2,"GTP-binding protein that regulates the nitrogen starvation response, sporulation, and filamentous growth; farnesylation and palmitoylation required for activity and localization to plasma membrane; homolog of mammalian Ras proto-oncogenes",65,11534.000,17514.100,21707.500,11340.700,8712.430,19089.500,21519.400,12657.800,14717.200,16985.900
YOR101W,RAS1,"GTPase involved in G-protein signaling in the adenylate cyclase activating pathway, plays a role in cell proliferation; localized to the plasma membrane; homolog of mammalian RAS proto-oncogenes",20,7513.900,3092.220,2820.890,7861.530,9021.610,2621.530,3285.710,1854.470,2749.080,2182.060
YJR048W,CYC1,"Cytochrome c, isoform 1; electron carrier of the mitochondrial intermembrane space that transfers electrons from ubiquinone-cytochrome c oxidoreductase to cytochrome c oxidase during cellular respiration",29,1711.730,5009.280,8767.240,1900.990,2479.110,6334.730,5476.620,8223.350,8337.840,8302.220
YEL039C,CYC7,"Cytochrome c isoform 2, expressed under hypoxic conditions; electron carrier of the mitochondrial intermembrane space that transfers electrons from ubiquinone-cytochrome c oxidoreductase to cytochrome c oxidase during cellular respiration",18,773.901,6421.950,5184.910,1077.310,877.161,4405.260,3625.460,5236.350,4296.660,5507.490
YGL164C,YRB30,"RanGTP-binding protein, inhibits RanGAP1 (Rna1p)-mediated GTP hydrolysis of RanGTP (Gsp1p); shares similarity to proteins in other fungi but not in higher eukaryotes",27,4534.020,5787.030,6117.590,4119.260,4733.600,6092.060,6642.760,6484.120,6528.570,5740.180
YKL024C,URA6,"Uridylate kinase, catalyzes the seventh enzymatic step in the de novo biosynthesis of pyrimidines, converting uridine monophosphate (UMP) into uridine-5'-diphosphate (UDP)",34,7722.260,7261.110,7610.760,7979.980,7165.510,7666.800,6180.650,5683.840,7413.500,9106.360
YPL037C,EGD1,"Subunit beta1 of the nascent polypeptide-associated complex (NAC) involved in protein targeting, associated with cytoplasmic ribosomes; enhances DNA binding of the Gal4p activator; homolog of human BTF3b",81,13041.800,15633.100,11546.000,13778.600,13866.800,12883.800,11236.800,9337.630,12238.000,12057.400
YJR055W,HIT1,"Protein of unknown function, required for growth at high temperature",9,1658.920,1201.230,1705.310,1439.940,1771.300,1282.300,1446.570,1253.150,1801.040,1523.610
YLR421C,RPN13,Subunit of the 19S regulatory particle of the 26S proteasome lid; acts as a ubiquitin receptor for the proteasome; null mutants accumulate ubiquitinated Gcn4p and display decreased 26S proteasome stability,19,6443.100,4796.730,4332.340,5391.130,5496.640,4607.740,4517.440,7433.180,4580.930,4121.050
YHR063C,PAN5,"2-dehydropantoate 2-reductase, part of the pantothenic acid pathway, structurally homologous to E. coli panE",32,10786.500,3328.590,5201.900,12060.100,12491.500,5177.130,4076.830,4379.210,6885.810,7184.230
YFR038W,IRC5,Putative ATPase containing the DEAD/H helicase-related sequence motif; null mutant displays increased levels of spontaneous Rad52p foci,31,8255.170,3161.330,4163.480,7999.100,7935.950,3674.200,4262.310,2680.880,5218.390,5452.540
YBR118W,TEF2,Translational elongation factor EF-1 alpha; also encoded by TEF1; functions in the binding reaction of aminoacyl-tRNA (AA-tRNA) to ribosomes; may also have a role in tRNA re-export from the nucleus,786,147725.000,119381.000,95052.500,165796.000,156057.000,104520.000,100158.000,92375.000,130787.000,113970.000
YAL059W,ECM1,Pre-ribosomal factor involved in 60S ribosomal protein subunit export; associates with the pre-60S particle; shuttles between the nucleus and cytoplasm,17,5707.290,890.007,1136.460,4816.160,5162.130,1043.410,1152.700,617.972,2077.990,1674.040
YLR262C,YPT6,"Rab family GTPase, Ras-like GTP binding protein involved in the secretory pathway, required for fusion of endosome-derived vesicles with the late Golgi, maturation of the vacuolar carboxypeptidase Y; has similarity to the human GTPase, Rab6",22,5271.620,4789.370,5585.570,5288.620,5014.370,5360.890,6464.770,7628.270,6762.780,6155.350
YFL038C,YPT1,"Rab family GTPase, involved in the ER-to-Golgi step of the secretory pathway; complex formation with the Rab escort protein Mrs6p is required for prenylation of Ypt1p by protein geranylgeranyltransferase type II (Bet2p-Bet4p)",67,10259.700,11832.500,14430.800,10409.500,9854.040,13187.200,14698.700,12903.200,15337.300,14947.900
YFL005W,SEC4,Rab family GTPase essential for vesicle-mediated exocytic secretion and autophagy; associates with the exocyst component Sec15p and may regulate polarized delivery of transport vesicles to the exocyst at the plasma membrane,45,7144.050,6270.710,7782.400,6632.450,6326.610,6932.230,7997.170,7831.370,8275.800,7928.630
YDL190C,UFD2,"Ubiquitin chain assembly factor (E4) that cooperates with a ubiquitin-activating enzyme (E1), a ubiquitin-conjugating enzyme (E2), and a ubiquitin protein ligase (E3) to conjugate ubiquitin to substrates; also functions as an E3",42,10485.800,10084.000,8934.460,9844.660,10697.100,10394.800,10178.700,5953.490,10712.300,9669.510
YLR196W,PWP1,Protein with WD-40 repeats involved in rRNA processing; associates with trans-acting ribosome biogenesis factors; similar to beta-transducin superfamily,63,18643.500,7823.210,9800.060,17295.200,18751.700,8667.400,9155.250,10254.500,10095.400,9121.150
YOR043W,WHI2,"Protein required, with binding partner Psr1p, for full activation of the general stress response, possibly through Msn2p dephosphorylation; regulates growth during the diauxic shift; negative regulator of G1 cyclin expression",23,2145.950,4175.110,3598.740,2650.140,2414.200,4908.380,3194.930,5001.070,3440.110,4670.940
YIL123W,SIM1,"Protein of the SUN family (Sim1p, Uth1p, Nca3p, Sun4p) that may participate in DNA replication, promoter contains SCB regulation box at -300 bp indicating that expression may be cell cycle-regulated",14,5263.210,1235.470,2203.900,7811.540,6347.060,2253.410,2250.700,3858.070,3238.800,5523.500
YNL066W,SUN4,"Cell wall protein related to glucanases, possibly involved in cell wall septation; member of the SUN family",7,2240.760,610.205,796.073,2710.770,3013.290,1146.670,851.190,742.590,1018.840,953.047
YGL194C,HOS2,"Histone deacetylase required for gene activation via specific deacetylation of lysines in H3 and H4 histone tails; subunit of the Set3 complex, a meiotic-specific repressor of sporulation specific genes that contains deacetylase activity",14,1109.490,1126.410,1396.990,1462.190,1426.750,1361.850,1391.490,1107.770,1360.810,1327.110
YBR204C,LDH1,"Serine hydrolase; exhibits active esterase plus weak triacylglycerol lipase activities; proposed role in lipid homeostasis, regulating phospholipid and non-polar lipid levels and required for mobilization of LD-stored lipids; localizes to the lipid droplet (LD) surface; contains a classical serine containing catalytic triad (GxSxG motif)",12,1504.560,2676.820,2863.570,1517.810,1458.670,2871.400,3068.480,3180.170,2648.490,3179.140
YLR243W,YLR243W,Putative protein of unknown function; YLR243W is an essential gene,7,1151.750,1078.390,894.072,1259.130,1206.160,1161.780,976.075,959.005,938.479,1366.260
YGL039W,YGL039W,Oxidoreductase shown to reduce carbonyl compounds to chiral alcohols,24,5015.150,1879.860,1651.190,5213.420,5113.800,2966.760,2405.100,3443.100,5526.930,5190.650
YGL157W,ARI1,"NADPH-dependent aldehyde reductase, utilizes aromatic and alophatic aldehyde substrates; member of the short-chain dehydrogenase/reductase superfamily",17,12303.300,642.460,860.039,11512.200,4701.810,494.861,361.129,737.644,579.397,399.527
YNL220W,ADE12,"Adenylosuccinate synthase, catalyzes the first step in synthesis of adenosine monophosphate from inosine 5'monophosphate during purine nucleotide biosynthesis; exhibits binding to single-stranded autonomously replicating (ARS) core sequence",46,12893.000,9508.500,13529.500,13013.100,12177.300,11111.700,16569.600,11688.500,11497.700,9187.240
YOR386W,PHR1,"DNA photolyase involved in photoreactivation, repairs pyrimidine dimers in the presence of visible light; induced by DNA damage; regulated by transcriptional repressor Rph1p",19,1705.110,3833.180,3876.750,1855.820,1529.080,4196.420,3807.140,3746.060,2871.650,2958.840
YGL037C,PNC1,"Nicotinamidase that converts nicotinamide to nicotinic acid as part of the NAD(+) salvage pathway, required for life span extension by calorie restriction; PNC1 expression responds to all known stimuli that extend replicative life span",61,4249.540,25305.800,11572.000,5129.320,3397.430,14428.100,17842.200,14450.800,12716.900,11595.900
YLR007W,NSE1,Essential subunit of the Mms21-Smc5-Smc6 complex; nuclear protein required for DNA repair and growth; has a nonstructural role in the maintenance of chromosomes,7,755.456,564.845,642.879,740.296,686.564,636.867,674.441,764.196,705.759,701.375
YPR133W-A,TOM5,Component of the TOM (translocase of outer membrane) complex responsible for recognition and initial import of all mitochondrially directed proteins; involved in transfer of precursors from the Tom70p and Tom20p receptors to the Tom40p pore,15,1399.090,928.761,962.869,1090.220,1225.970,1107.230,710.661,1946.150,1451.520,1219.590
YDL047W,SIT4,Type 2A-related serine-threonine phosphatase that functions in the G1/S transition of the mitotic cycle; cytoplasmic and nuclear protein that modulates functions mediated by Pkc1p including cell wall and actin cytoskeleton organization,37,4736.200,7972.630,7806.430,5648.020,5785.320,8752.250,8669.580,10243.200,8033.180,8115.680
YPR149W,NCE102,Protein of unknown function; contains transmembrane domains; involved in secretion of proteins that lack classical secretory signal sequences; component of the detergent-insoluble glycolipid-enriched complexes (DIGs),22,1569.390,8841.270,5928.620,2322.230,1394.400,6256.750,6645.930,5350.340,3498.630,5154.900
YOR267C,HRK1,Protein kinase implicated in activation of the plasma membrane H(+)-ATPase Pma1p in response to glucose metabolism; plays a role in ion homeostasis,38,7620.990,8999.970,10419.100,9038.870,8911.760,10821.000,8406.860,9634.470,9080.830,10733.200
YDR475C,JIP4,"Protein of unknown function; previously annotated as two separate ORFs, YDR474C and YDR475C, which were merged as a result of corrections to the systematic reference sequence",28,3112.540,3518.720,4733.480,3184.790,2768.030,4518.530,5064.990,5948.730,4995.280,4552.290
YHR009C,TDA3,"Putative oxidoreductase involved in late endosome to Golgi transport; physical and genetical interactions with Btn2p; null mutant is viable, has extended S phase, and sensitive to expression of top1-T722A allele; similar to human FOXRED1",33,5299.590,6072.280,6242.460,5896.500,5694.470,7301.900,5544.840,5491.990,6200.020,7382.550
YPL133C,RDS2,Transcription factor involved in regulating gluconeogenesis and glyoxylate cycle genes; member of the zinc cluster family of proteins; confers resistance to ketoconazole,14,1091.760,1685.620,2023.420,1074.160,1275.170,2245.870,1732.590,2153.310,2151.100,2211.600
YDR384C,ATO3,"Plasma membrane protein, regulation pattern suggests a possible role in export of ammonia from the cell; phosphorylated in mitochondria; member of the TC 9.B.33 YaaH family of putative transporters",25,1037.230,8547.000,11008.700,1053.860,897.686,8597.020,14132.700,2771.590,6380.840,6017.710
YOL058W,ARG1,"Arginosuccinate synthetase, catalyzes the formation of L-argininosuccinate from citrulline and L-aspartate in the arginine biosynthesis pathway; potential Cdc28p substrate",41,7770.460,6726.130,11221.000,6266.530,6069.660,8590.260,20126.100,15684.500,12031.100,5992.390
YIL099W,SGA1,"Intracellular sporulation-specific glucoamylase involved in glycogen degradation; induced during starvation of a/a diploids late in sporulation, but dispensable for sporulation",5,494.085,2025.640,1034.160,386.205,358.216,2069.550,1909.720,961.450,867.354,1184.690
YHR132C,ECM14,"Putative metalloprotease with similarity to the zinc carboxypeptidase family, required for normal cell wall assembly",31,5141.570,7082.590,6620.270,5568.310,5911.460,8309.960,6525.210,4163.120,6222.960,8765.460
YPR003C,YPR003C,Putative sulfate permease; physically interacts with Hsp82p; green fluorescent protein (GFP)-fusion protein localizes to the ER; YPR003C is not an essential gene,3,224.781,129.121,166.757,259.743,230.884,118.162,181.150,332.672,220.394,168.317
YJR050W,ISY1,"Member of NineTeen Complex (NTC) that contains Prp19p and stabilizes U6 snRNA in catalytic forms of spliceosome containing U2, U5, and U6 snRNAs, interacts with Prp16p to modulate splicing fidelity; isy1 syf2 cells have defective spindles",13,4248.620,3274.640,2721.600,4196.000,3973.090,3527.590,3152.710,3204.040,3675.670,3665.790
YGL001C,ERG26,"C-3 sterol dehydrogenase, catalyzes the second of three steps required to remove two C-4 methyl groups from an intermediate in ergosterol biosynthesis",38,4356.220,3692.050,5723.180,4565.200,4642.330,4690.290,3996.860,10264.500,5522.800,4452.930
